,date,repeated_hour_flag,dam,rtm
229,2022-01-03 09:15:00,N,34.68,26.28
230,2022-01-03 09:30:00,N,34.68,26.26
231,2022-01-03 09:45:00,N,34.68,26.25
232,2022-01-03 10:00:00,N,29.38,26.48
233,2022-01-03 10:15:00,N,29.38,26.62
234,2022-01-03 10:30:00,N,29.38,26.27
235,2022-01-03 10:45:00,N,29.38,25.7
236,2022-01-03 11:00:00,N,27.53,24.63
237,2022-01-03 11:15:00,N,27.53,24.11
238,2022-01-03 11:30:00,N,27.53,22.95
239,2022-01-03 11:45:00,N,27.53,22.61
240,2022-01-03 12:00:00,N,26.67,22.78
241,2022-01-03 12:15:00,N,26.67,22.74
242,2022-01-03 12:30:00,N,26.67,22.6
243,2022-01-03 12:45:00,N,26.67,22.34
244,2022-01-03 13:00:00,N,25.13,21.78
245,2022-01-03 13:15:00,N,25.13,21.32
246,2022-01-03 13:30:00,N,25.13,20.81
247,2022-01-03 13:45:00,N,25.13,20.25
248,2022-01-03 14:00:00,N,24.17,19.51
249,2022-01-03 14:15:00,N,24.17,18.96
250,2022-01-03 14:30:00,N,24.17,18.13
251,2022-01-03 14:45:00,N,24.17,17.49
252,2022-01-03 15:00:00,N,23.2,16.79
253,2022-01-03 15:15:00,N,23.2,16.82
254,2022-01-03 15:30:00,N,23.2,17.61
255,2022-01-03 15:45:00,N,23.2,18.55
256,2022-01-03 16:00:00,N,26.79,17.91
257,2022-01-03 16:15:00,N,26.79,19.81
258,2022-01-03 16:30:00,N,26.79,22.19
259,2022-01-03 16:45:00,N,26.79,23.81
260,2022-01-03 17:00:00,N,47.05,24.42
261,2022-01-03 17:15:00,N,47.05,26.32
262,2022-01-03 17:30:00,N,47.05,28.05
263,2022-01-03 17:45:00,N,47.05,28.23
264,2022-01-03 18:00:00,N,35.37,26.29
265,2022-01-03 18:15:00,N,35.37,25.15
266,2022-01-03 18:30:00,N,35.37,24.36
267,2022-01-03 18:45:00,N,35.37,23.58
268,2022-01-03 19:00:00,N,30.99,23.15
269,2022-01-03 19:15:00,N,30.99,22.8
270,2022-01-03 19:30:00,N,30.99,22.53
271,2022-01-03 19:45:00,N,30.99,22.46
272,2022-01-03 20:00:00,N,30.81,22.24
273,2022-01-03 20:15:00,N,30.81,22.16
274,2022-01-03 20:30:00,N,30.81,22.18
275,2022-01-03 20:45:00,N,30.81,21.54
276,2022-01-03 21:00:00,N,29.05,20.53
277,2022-01-03 21:15:00,N,29.05,20.17
278,2022-01-03 21:30:00,N,29.05,19.8
279,2022-01-03 21:45:00,N,29.05,19.65
280,2022-01-03 22:00:00,N,27.02,19.59
281,2022-01-03 22:15:00,N,27.02,21.77
282,2022-01-03 22:30:00,N,27.02,19.16
283,2022-01-03 22:45:00,N,27.02,18.25
284,2022-01-03 23:00:00,N,24.4,19.55
285,2022-01-03 23:15:00,N,24.4,19.47
286,2022-01-03 23:30:00,N,24.4,18.77
287,2022-01-03 23:45:00,N,24.4,18.55
288,2022-01-04 00:00:00,N,19.48,21.53
289,2022-01-04 00:15:00,N,19.48,22.22
290,2022-01-04 00:30:00,N,19.48,22.13
291,2022-01-04 00:45:00,N,19.48,22.11
292,2022-01-04 01:00:00,N,18.15,22.24
293,2022-01-04 01:15:00,N,18.15,22.22
294,2022-01-04 01:30:00,N,18.15,22.13
295,2022-01-04 01:45:00,N,18.15,22.14
296,2022-01-04 02:00:00,N,19.11,22.17
297,2022-01-04 02:15:00,N,19.11,22.18
298,2022-01-04 02:30:00,N,19.11,22.31
299,2022-01-04 02:45:00,N,19.11,22.16
300,2022-01-04 03:00:00,N,20.35,22.68
301,2022-01-04 03:15:00,N,20.35,22.92
302,2022-01-04 03:30:00,N,20.35,23.33
303,2022-01-04 03:45:00,N,20.35,23.44
304,2022-01-04 04:00:00,N,24.91,24.44
305,2022-01-04 04:15:00,N,24.91,24.19
306,2022-01-04 04:30:00,N,24.91,24.03
307,2022-01-04 04:45:00,N,24.91,22.42
308,2022-01-04 05:00:00,N,25.84,22.15
309,2022-01-04 05:15:00,N,25.84,22.62
310,2022-01-04 05:30:00,N,25.84,24.95
311,2022-01-04 05:45:00,N,25.84,26.77
312,2022-01-04 06:00:00,N,40.23,28.26
313,2022-01-04 06:15:00,N,40.23,29.17
314,2022-01-04 06:30:00,N,40.23,31.32
315,2022-01-04 06:45:00,N,40.23,36.24
316,2022-01-04 07:00:00,N,42.89,33.7
317,2022-01-04 07:15:00,N,42.89,32.26
318,2022-01-04 07:30:00,N,42.89,31.4
319,2022-01-04 07:45:00,N,42.89,29.63
320,2022-01-04 08:00:00,N,35.56,29.77
321,2022-01-04 08:15:00,N,35.56,25.81
322,2022-01-04 08:30:00,N,35.56,24.09
323,2022-01-04 08:45:00,N,35.56,23.03
324,2022-01-04 09:00:00,N,26.61,23.18
325,2022-01-04 09:15:00,N,26.61,23.04
326,2022-01-04 09:30:00,N,26.61,22.92
327,2022-01-04 09:45:00,N,26.61,22.33
328,2022-01-04 10:00:00,N,23.39,22.36
329,2022-01-04 10:15:00,N,23.39,22.23
330,2022-01-04 10:30:00,N,23.39,22.13
331,2022-01-04 10:45:00,N,23.39,21.64
332,2022-01-04 11:00:00,N,22.74,21.44
333,2022-01-04 11:15:00,N,22.74,21.1
334,2022-01-04 11:30:00,N,22.74,20.24
335,2022-01-04 11:45:00,N,22.74,18.91
336,2022-01-04 12:00:00,N,20.37,21.64
337,2022-01-04 12:15:00,N,20.37,20.42
338,2022-01-04 12:30:00,N,20.37,20.25
339,2022-01-04 12:45:00,N,20.37,20.27
340,2022-01-04 13:00:00,N,19.22,18.76
341,2022-01-04 13:15:00,N,19.22,18.42
342,2022-01-04 13:30:00,N,19.22,17.4
343,2022-01-04 13:45:00,N,19.22,17.21
344,2022-01-04 14:00:00,N,18.33,12.62
345,2022-01-04 14:15:00,N,18.33,6.14
346,2022-01-04 14:30:00,N,18.33,1.7
347,2022-01-04 14:45:00,N,18.33,0.03
348,2022-01-04 15:00:00,N,18.05,1.1
349,2022-01-04 15:15:00,N,18.05,5.6
350,2022-01-04 15:30:00,N,18.05,17.69
351,2022-01-04 15:45:00,N,18.05,17.61
352,2022-01-04 16:00:00,N,21.57,17.67
353,2022-01-04 16:15:00,N,21.57,17.53
354,2022-01-04 16:30:00,N,21.57,20.26
355,2022-01-04 16:45:00,N,21.57,22.38
356,2022-01-04 17:00:00,N,43.98,22.83
357,2022-01-04 17:15:00,N,43.98,28.67
358,2022-01-04 17:30:00,N,43.98,35.16
359,2022-01-04 17:45:00,N,43.98,41.09
360,2022-01-04 18:00:00,N,33.98,32.84
361,2022-01-04 18:15:00,N,33.98,30.8
362,2022-01-04 18:30:00,N,33.98,24.75
363,2022-01-04 18:45:00,N,33.98,23.32
364,2022-01-04 19:00:00,N,29.14,22.75
365,2022-01-04 19:15:00,N,29.14,23.01
366,2022-01-04 19:30:00,N,29.14,22.54
367,2022-01-04 19:45:00,N,29.14,22.51
368,2022-01-04 20:00:00,N,26.03,22.51
369,2022-01-04 20:15:00,N,26.03,22.51
370,2022-01-04 20:30:00,N,26.03,22.5
371,2022-01-04 20:45:00,N,26.03,22.49
372,2022-01-04 21:00:00,N,24.53,22.49
373,2022-01-04 21:15:00,N,24.53,22.41
374,2022-01-04 21:30:00,N,24.53,22.08
375,2022-01-04 21:45:00,N,24.53,21.15
376,2022-01-04 22:00:00,N,25.84,20.24
377,2022-01-04 22:15:00,N,25.84,20.34
378,2022-01-04 22:30:00,N,25.84,20.84
379,2022-01-04 22:45:00,N,25.84,21.1
380,2022-01-04 23:00:00,N,24.38,20.72
381,2022-01-04 23:15:00,N,24.38,20.79
382,2022-01-04 23:30:00,N,24.38,20.94
383,2022-01-04 23:45:00,N,24.38,20.56
384,2022-01-05 00:00:00,N,23.23,22.57
385,2022-01-05 00:15:00,N,23.23,22.64
386,2022-01-05 00:30:00,N,23.23,22.94
387,2022-01-05 00:45:00,N,23.23,22.54
388,2022-01-05 01:00:00,N,22.23,22.51
389,2022-01-05 01:15:00,N,22.23,22.5
390,2022-01-05 01:30:00,N,22.23,22.48
391,2022-01-05 01:45:00,N,22.23,22.47
392,2022-01-05 02:00:00,N,22.29,22.49
393,2022-01-05 02:15:00,N,22.29,22.46
394,2022-01-05 02:30:00,N,22.29,22.43
395,2022-01-05 02:45:00,N,22.29,21.97
396,2022-01-05 03:00:00,N,22.42,20.99
397,2022-01-05 03:15:00,N,22.42,19.88
398,2022-01-05 03:30:00,N,22.42,19.72
399,2022-01-05 03:45:00,N,22.42,19.99
400,2022-01-05 04:00:00,N,24.59,20.13
401,2022-01-05 04:15:00,N,24.59,20.17
402,2022-01-05 04:30:00,N,24.59,20.66
403,2022-01-05 04:45:00,N,24.59,19.36
404,2022-01-05 05:00:00,N,29.25,20.68
405,2022-01-05 05:15:00,N,29.25,21.7
406,2022-01-05 05:30:00,N,29.25,22.4
407,2022-01-05 05:45:00,N,29.25,22.32
408,2022-01-05 06:00:00,N,32.77,22.4
409,2022-01-05 06:15:00,N,32.77,22.64
